,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
5832,ВНЭ,РН-ЮНГ-2013-3847,т.А - уз.(т.3),Сургутский,72.92235,61.1638,земли лесного фонда,0.0442,не учитывается,вне акватоий,2013-08-05 00:00:00
5833,ВНЭ,РН-ЮНГ-2013-3848,т.27(вр.к.41а) - т.15(вр.к.42а),Нефтеюганский,72.9509,61.16432,земли лесного фонда,0.3254,не учитывается,вне акватоий,2014-01-03 00:00:00
5834,ВНЭ,РН-ЮНГ-2013-3850,т.15(вр.к.42) - т.36,Нефтеюганский,72.99401,61.1596,земли лесного фонда,0.0133,не учитывается,вне акватоий,2013-08-21 00:00:00
5835,ВНЭ,РН-ЮНГ-2013-3851,т.18(вр.к.26) - т.34(вр.к.27),Нефтеюганский,73.02511,61.14626,земли лесного фонда,0.1049,не учитывается,вне акватоий,2013-08-21 00:00:00
5836,ВНЭ,РН-ЮНГ-2013-3853,т.33(вр.к.25) - т.18(вр.к.26),Нефтеюганский,73.05232,61.14128,земли лесного фонда,0.0176,не учитывается,вне акватоий,2013-09-03 00:00:00
5837,ВНЭ,РН-ЮНГ-2013-3854,"к.47,к.47а - т.9",Нефтеюганский,72.9044,61.15547,земли лесного фонда,0.4044,не учитывается,вне акватоий,2013-09-04 00:00:00
5838,ВНЭ,РН-ЮНГ-2013-3855,"к.25,25а - т.33",Нефтеюганский,73.06126,61.14102,земли лесного фонда,0.0178,не учитывается,вне акватоий,2013-09-08 00:00:00
5839,ВНЭ,РН-ЮНГ-2013-3856,т.А - уз.(т.3),Сургутский,72.92381,61.16336,земли лесного фонда,0.1524,не учитывается,вне акватоий,2013-09-10 00:00:00
5840,ВНЭ,РН-ЮНГ-2013-3861,к.42а - т.39,Нефтеюганский,72.9618,61.15717,земли лесного фонда,0.2494,не учитывается,вне акватоий,2013-10-22 00:00:00
5841,ВНЭ,РН-ЮНГ-2013-3862,к.70  - т.2(вр.к.41),Сургутский,72.9296,61.1826,земли лесного фонда,0.0498,не учитывается,вне акватоий,2013-10-31 00:00:00
5842,ВНЭ,РН-ЮНГ-2013-3863,к.84 - т.310,Сургутский,73.08682,61.21104,земли лесного фонда,0.0145,не учитывается,вне акватоий,2013-11-04 00:00:00
5843,ВНЭ,РН-ЮНГ-2013-3864,к.42 - т.39,Нефтеюганский,72.96249,61.15765,земли лесного фонда,0.1452,не учитывается,вне акватоий,2013-11-07 00:00:00
5844,ВНЭ,РН-ЮНГ-2013-3869,к.52  - т.11,Нефтеюганский,72.99552,61.11814,земли лесного фонда,0.3294,не учитывается,вне акватоий,2013-12-11 00:00:00
5845,ВНЭ,РН-ЮНГ-2013-3870,к.84 - т.310,Сургутский,73.08682,61.21096,земли лесного фонда,0.0068,не учитывается,вне акватоий,2013-12-16 00:00:00
5846,ВНЭ,РН-ЮНГ-2013-3871,т.А - уз.(т.3),Сургутский,72.92221,61.16384,земли лесного фонда,0.0019,не учитывается,вне акватоий,2013-12-30 00:00:00
5847,газовая смесь,РН-ЮНГ-2013-3872,т.21 - т.21д (12км от т.21),Сургутский,72.82713,61.19898,земли лесного фонда,0.001,не учитывается,вне акватоий,2012-04-10 00:00:00
5848,газовая смесь,РН-ЮНГ-2013-3873,т.21-т.21А (500м от т.21),Нефтеюганский,72.68361,61.1618,земли лесного фонда,0.001,не учитывается,вне акватоий,2012-09-16 00:00:00
5849,подтоварная вода,РН-ЮНГ-2013-3878,127.9 м к востоку от к.120,Нефтеюганский,72.86403,61.1611,земли лесного фонда,0.033,не учитывается,вне акватоий,данных нет
5850,подтоварная вода,РН-ЮНГ-2013-3887,т.44 - к.27 (на отводе т.44),Нефтеюганский,73.01518,61.15058,земли лесного фонда,0.0083,не учитывается,вне акватоий,2012-01-16 00:00:00
5851,подтоварная вода,РН-ЮНГ-2013-3896,УПН-4 –уз.6 (от УПН-4 - 3450м),Нефтеюганский,73.00965,61.13494,земли лесного фонда,0.001,не учитывается,вне акватоий,2012-02-26 00:00:00
5852,подтоварная вода,РН-ЮНГ-2013-3897,КНС-3 – к.39а (от КНС-3 - 3090м),Нефтеюганский,72.96961,61.1416,земли лесного фонда,0.0165,не учитывается,вне акватоий,2012-03-15 00:00:00
5853,подтоварная вода,РН-ЮНГ-2013-3898, уз.6-уз.7 (800м от уз.6),Нефтеюганский,73.01138,61.12267,земли лесного фонда,0.0439,не учитывается,вне акватоий,2012-03-19 00:00:00
5854,подтоварная вода,РН-ЮНГ-2013-3905,т.55-к.24а (от т.55 - 600м),Нефтеюганский,73.1058,61.1311,земли лесного фонда,0.001,не учитывается,вне акватоий,2012-04-08 00:00:00
5855,подтоварная вода,РН-ЮНГ-2013-3920,т.146-т.148 (на т.148(вр.к.124)),Нефтеюганский,72.93722,61.18841,земли лесного фонда,0.0031,не учитывается,вне акватоий,2012-06-05 00:00:00
5856,подтоварная вода,РН-ЮНГ-2013-3921,т.190(вр.к.66)-т.187(вр.к.65) (от т.190 - 350м),Нефтеюганский,72.90082,61.1079,земли лесного фонда,0.0222,не учитывается,вне акватоий,2012-06-05 00:00:00
5857,подтоварная вода,РН-ЮНГ-2013-3922,т.203-т.205 (от т.203 - 400м),Нефтеюганский,73.04152,61.07998,земли лесного фонда,0.046,не учитывается,вне акватоий,2012-06-08 00:00:00
5858,подтоварная вода,РН-ЮНГ-2013-3923,т.212-к.95 (от к.95 - 140м),Нефтеюганский,73.1008,61.06558,земли лесного фонда,0.0472,не учитывается,вне акватоий,2012-06-23 00:00:00
5859,подтоварная вода,РН-ЮНГ-2013-3924,КНС-4 – к.92 (1500м от КНС-4),Нефтеюганский,72.90477,61.17604,земли лесного фонда,0.0221,не учитывается,вне акватоий,2012-06-26 00:00:00
5860,подтоварная вода,РН-ЮНГ-2013-3925,т.217-к.127 (150м от т.217),Сургутский,73.13552,61.0468,земли лесного фонда,0.0212,не учитывается,вне акватоий,2012-06-26 00:00:00
5861,ВНЭ,РН-ЮНГ-2013-3926,уз.58-к.108 (170м от уз.58)             к.108 - т.2,Нефтеюганский,73.20817,61.21199,"земли лесного фонда, земли промышленности, земли запаса ",0.2037,не учитывается,вне акватоий,03.07.2012               18.02.2019
5862,подтоварная вода,РН-ЮНГ-2013-3927,"КНС-4 – к.92 (1,5км от КНС-4)",Сургутский,72.90487,61.17604,земли лесного фонда,0.0334,не учитывается,вне акватоий,2012-07-13 00:00:00
5863,подтоварная вода,РН-ЮНГ-2013-3929,"КНС-5 – т.3 (2,5к от КНС-5)",Нефтеюганский,73.11222,61.15233,земли лесного фонда,0.007,не учитывается,вне акватоий,2012-07-18 00:00:00
5864,подтоварная вода,РН-ЮНГ-2013-3930,"УПН-4 – уз.6 (2,5км от уз.6)",Нефтеюганский,73.00358,61.14126,земли лесного фонда,0.038,не учитывается,вне акватоий,2012-07-23 00:00:00
5865,подтоварная вода,РН-ЮНГ-2013-3934,"КНС-5 – т.13 (на т.13, задв.258)",Нефтеюганский,73.11222,61.15233,земли лесного фонда,0.003,не учитывается,вне акватоий,2012-07-29 00:00:00
5866,подтоварная вода,РН-ЮНГ-2013-3944,КНС-3 - т.140(вр.к.38) (20м от КНС-3),Нефтеюганский,73.01072,61.12938,земли лесного фонда,0.028,не учитывается,вне акватоий,2012-08-28 00:00:00
5867,подтоварная вода,РН-ЮНГ-2013-3955,КНС-5 - т.3(вр.к.6) (от задв. 35 (КНС-5)=25м),Нефтеюганский,73.08362,61.16135,земли лесного фонда,0.001,не учитывается,вне акватоий,2012-09-21 00:00:00
5868,подтоварная вода,РН-ЮНГ-2013-3958,УПН-4 – уз.6 (от уз.6=600м),Сургутский,73.0107,61.1338,земли лесного фонда,0.041,не учитывается,вне акватоий,2012-10-04 00:00:00
5869,подтоварная вода,РН-ЮНГ-2013-3964, т.5(вр.к.2а) - т.97 (от т.5=350м (р-н к.5а)),Нефтеюганский,73.04287,61.16769,земли лесного фонда,0.0411,не учитывается,вне акватоий,2012-10-18 00:00:00
5870,подтоварная вода,РН-ЮНГ-2013-3968,УПН-4 -уз..6 (ОТ УЗ.6=800М),Нефтеюганский,73.01081,61.13529,земли лесного фонда,0.0068,не учитывается,вне акватоий,2012-11-07 00:00:00
5871,подтоварная вода,РН-ЮНГ-2013-3975,т.130 - к.49 (от к.49 = 2м),Нефтеюганский,73.0577,61.11844,земли лесного фонда,0.1795,не учитывается,вне акватоий,2012-12-22 00:00:00
5872,подтоварная вода,РН-ЮНГ-2013-3977,т.178-к.116 (200м от т.178),Нефтеюганский,72.84752,61.13559,земли лесного фонда,0.0412,не учитывается,вне акватоий,2012-12-29 00:00:00
5873,подтоварная вода,РН-ЮНГ-2013-3979,КНС-8 - КНС-13 (на уз.8),Нефтеюганский,73.0165,61.0856,земли лесного фонда,0.1323,не учитывается,вне акватоий,2013-01-13 00:00:00
5874,подтоварная вода,РН-ЮНГ-2013-3983,т.216 - к.135,Нефтеюганский,73.1071,61.0604,земли лесного фонда,0.0665,не учитывается,вне акватоий,2013-02-06 00:00:00
5875,подтоварная вода,РН-ЮНГ-2013-3984,уз.3 - к.42,Нефтеюганский,72.9597,61.1577,земли лесного фонда,0.0066,не учитывается,вне акватоий,2013-02-18 00:00:00
5876,подтоварная вода,РН-ЮНГ-2013-3986,т.160 - к.123,Нефтеюганский,72.8647,61.1776,земли лесного фонда,0.019,не учитывается,вне акватоий,2013-03-06 00:00:00
5877,подтоварная вода,РН-ЮНГ-2013-3989,т.217 - к.127,Нефтеюганский,73.0563,61.1827,земли лесного фонда,0.0863,не учитывается,вне акватоий,2013-03-22 00:00:00
5878,подтоварная вода,РН-ЮНГ-2013-3995,т. 216 - к. 135,Нефтеюганский,73.1071,61.0605,земли лесного фонда,0.1404,не учитывается,вне акватоий,2013-04-19 00:00:00
5879,подтоварная вода,РН-ЮНГ-2013-4000,Уз. 3 - к.42,Нефтеюганский,72.9335,61.1705,земли лесного фонда,0.0157,не учитывается,вне акватоий,2013-04-25 00:00:00
5880,подтоварная вода,РН-ЮНГ-2013-4008,т.212-к.95,Нефтеюганский,73.10067,61.0652,земли лесного фонда,0.1998,не учитывается,вне акватоий,2013-05-16 00:00:00
5881,подтоварная вода,РН-ЮНГ-2013-4015,КНС-4 - Уз.3,Нефтеюганский,72.93471,61.16903,земли лесного фонда,0.002,не учитывается,вне акватоий,2013-06-21 00:00:00
5882,подтоварная вода,РН-ЮНГ-2013-4016,т.201 - т.209,Нефтеюганский,73.09638888888888,61.065,"земли промышленности, земли запаса ",0.4799,не учитывается,вне акватоий,2018-08-08 13:45:00
5883,подтоварная вода,РН-ЮНГ-2013-4017,т.36а(вр.к.25) - к.25,Нефтеюганский,73.06417,61.14083,земли лесного фонда,0.0001,не учитывается,вне акватоий,2013-07-04 00:00:00
5884,подтоварная вода,РН-ЮНГ-2013-4020,КНС-8 - т.203(вр.к.69),Нефтеюганский,73.02284,61.08251,земли лесного фонда,0.3471,не учитывается,вне акватоий,03.11.2015 в 12:35
5885,подтоварная вода,РН-ЮНГ-2013-4022,КНС-3 ЮС - к.39А,Нефтеюганский,72.9713,61.14285,земли лесного фонда,0.1179,не учитывается,вне акватоий,2013-07-16 00:00:00
5886,подтоварная вода,РН-ЮНГ-2013-4029,УПН-4 - уз.6,Нефтеюганский,73.01125,61.13389,земли лесного фонда,0.1113,не учитывается,вне акватоий,2013-08-06 00:00:00
5887,подтоварная вода,РН-ЮНГ-2013-4031,КНС-4 - уз.3,Нефтеюганский,72.93524,61.16416,земли лесного фонда,0.0091,не учитывается,вне акватоий,2013-08-16 00:00:00
5888,подтоварная вода,РН-ЮНГ-2013-4032,т.21 - т.26(вр.к.19),Нефтеюганский,73.12529,61.1738,земли лесного фонда,0.382,не учитывается,вне акватоий,2013-08-17 00:00:00
5889,подтоварная вода,РН-ЮНГ-2013-4036,УПН-4 - уз.6,Нефтеюганский,73.00557,61.15819,земли лесного фонда,0.2029,не учитывается,вне акватоий,2013-08-23 00:00:00
5890,подтоварная вода,РН-ЮНГ-2013-4037,УПН-4 - уз.6,Нефтеюганский,73.00361,61.14126,земли лесного фонда,0.0499,не учитывается,вне акватоий,2013-08-25 00:00:00
5891,подтоварная вода,РН-ЮНГ-2013-4045,т.21 - т.22(вр.к.18а),Нефтеюганский,73.12308,61.17415,земли лесного фонда,0.0418,не учитывается,вне акватоий,2013-09-26 00:00:00
5892,нефтяная эмульсия,РН-ЮНГ-2014-1045,"к.47, к.47а - т.9 (от к.47 = 1м)",Нефтеюганский,72.89666666666668,61.15611111111111,земли лесного фонда,0.1111,не учитывается,вне акватоий,2014-01-05 00:00:00
5893,подтоварная вода,РН-ЮНГ-2014-1047,т.212 - к.95 (от т.212 = 30 м),Нефтеюганский,73.10222222222221,61.06472222222222,"земли промышленности, земли запаса",0.1213,не учитывается,вне акватоий,2014-01-07 00:00:00
5894,нефтяная эмульсия,РН-ЮНГ-2014-1049,т.38(вр.к.41а) - т.27 (от т.27 = 200м),Нефтеюганский,72.93694444444445,61.16444444444444,земли запаса,0.1499,не учитывается,вне акватоий,2014-01-14 00:00:00
5895,нефтяная эмульсия,РН-ЮНГ-2014-1053,т.А - Уз.(т.3) (от т.А = 50 м),Нефтеюганский,72.9225,61.17388888888889,земли лесного фонда,0.0069,не учитывается,вне акватоий,2014-01-25 00:00:00
5896,нефтяная эмульсия,РН-ЮНГ-2014-1054,т.А - Уз.(т.3) (от Уз.(т.3) = 50м),Нефтеюганский,72.92888888888889,61.16111111111111,земли лесного фонда; земли запаса,0.0313,не учитывается,вне акватоий,2014-01-31 00:00:00
5897,подтоварная вода,РН-ЮНГ-2014-1058,т.217 - к.127 (от   т.217 - 100 м),Нефтеюганский,73.13666666666667,61.046388888888885,"земли промышленности, земли запаса",0.1347,не учитывается,вне акватоий,18.11.2015 в 14:40
5898,нефтяная эмульсия,РН-ЮНГ-2014-1060,т.38(вр.к.41а) - т.27 (на т.38),Нефтеюганский,72.935,61.171388888888885,земли лесного фонда,0.0811,не учитывается,вне акватоий,2014-03-03 00:00:00
5899,подтоварная вода,РН-ЮНГ-2014-1061,Уз.4 - Уз.5 (на т.185),Нефтеюганский,72.90527777777778,61.126111111111115,земли запаса,0.0225,не учитывается,вне акватоий,2014-03-03 00:00:00
5900,нефтяная эмульсия,РН-ЮНГ-2014-1065,т.324(вр.к.73) - т.325(вр.к.74) (от т.324 = 800м ),Сургутский,73.01888888888888,61.196666666666665,земли лесного фонда,0.0061,не учитывается,вне акватоий,2014-03-13 00:00:00
5901,нефтяная эмульсия,РН-ЮНГ-2014-1067,к.62а - т.12а(вр.к.62) (на задв № 220),Нефтеюганский,72.96805555555555,61.11527777777778,земли запаса,0.0086,не учитывается,вне акватоий,2014-03-13 00:00:00
5902,нефтяная эмульсия,РН-ЮНГ-2014-1070,к.64а - т.14 (от к.64 = 10м),Нефтеюганский,72.89166666666668,61.124722222222225,земли запаса,0.0141,не учитывается,вне акватоий,2014-03-19 00:00:00
5903,нефтяная эмульсия,РН-ЮНГ-2014-1073,к.40а - к.71( т.341) (от к.40а  = 2м ),Нефтеюганский,72.97583333333334,61.17666666666666,"земли промышленности, земли запаса",0.1044,не учитывается,вне акватоий,2014-03-26 00:00:00
5904,нефтяная эмульсия,РН-ЮНГ-2014-1074,т.15(вр.к.42) - т.36   (от т.15  = 800м ),Нефтеюганский,72.97166666666666,61.164722222222224,земли лесного фонда,0.144,не учитывается,вне акватоий,2014-03-31 00:00:00
5905,нефтяная эмульсия,РН-ЮНГ-2014-1076,т.33(вр.к.25) - т.18(вр.к.26) (от т.33(вр.к.25) = 400м),Нефтеюганский,73.05416666666666,61.14083333333333,земли лесного фонда,0.0343,не учитывается,вне акватоий,2014-04-02 00:00:00
5906,подтоварная вода,РН-ЮНГ-2014-1078,Уз.72(КНС-11) - к.178 (от к.178 = 150м),Нефтеюганский,73.26777777777778,61.18138888888889,земли лесного фонда,0.2402,не учитывается,вне акватоий,2014-04-04 00:00:00
5907,нефтяная эмульсия,РН-ЮНГ-2014-1079,к.38а - т.26а(вр.к.38) (от к.38а = 60м),Нефтеюганский,73.0125,61.12888888888889,"земли промышленности, земли запаса",0.0018,не учитывается,вне акватоий,2014-04-09 00:00:00
5908,нефтяная эмульсия,РН-ЮНГ-2014-1081,т.343(вр.к.19)-уз.(т.364) (от т.343 -30м.),Нефтеюганский,73.10638888888889,61.17638888888889,земли лесного фонда,0.2083,не учитывается,вне акватоий,2014-04-10 00:00:00
5909,нефтяная эмульсия,РН-ЮНГ-2014-1083,к.92 - т.2(вр.к.41) (от к.92 = 1500),Нефтеюганский,72.9213888888889,61.174166666666665,земли лесного фонда,0.6209,не учитывается,вне акватоий,2014-04-15 00:00:00
5910,нефтяная эмульсия,РН-ЮНГ-2014-1085,к.116 - т.13(вр.к.65) (от к.116 = 20м),Нефтеюганский,72.84138888888889,61.12416666666667,"земли промышленности, земли запаса",0.3342,не учитывается,вне акватоий,2014-04-20 00:00:00
5911,нефтяная эмульсия,РН-ЮНГ-2014-1092,к.58а - т.25   (от к.58а = 30м),Нефтеюганский,73.065,61.10277777777778,земли запаса,0.0223,не учитывается,вне акватоий,2014-04-28 00:00:00
5912,нефтяная эмульсия,РН-ЮНГ-2014-1095,к.84 - т.310 (от к.84 = 1295м),Нефтеюганский,73.08611111111111,61.20416666666667,земли промышленности; земли лесного фонда; земли запаса,0.205,не учитывается,вне акватоий,2014-05-03 00:00:00
5913,нефтяная эмульсия,РН-ЮНГ-2014-1097,К.65 - Т.30(т.вр.к.64а) (от к.65-690м.),Нефтеюганский,72.89166666666668,61.124722222222225,земли промышленности; земли лесного фонда; земли запаса,0.2157,не учитывается,вне акватоий,2014-05-05 00:00:00
5914,подтоварная вода,РН-ЮНГ-2014-1098,Уз.72(КНС-11) - к.178  (от уз.72 = 200м ),Нефтеюганский,73.26694444444445,61.19277777777778,земли лесного фонда,0.1629,не учитывается,вне акватоий,2014-05-06 00:00:00
5915,нефтяная эмульсия,РН-ЮНГ-2014-1099,т.18(вр.к.26) - т.34(вр.к.27) (от т.18 = 1400м),Нефтеюганский,73.02694444444444,61.14555555555555,земли лесного фонда,0.0262,не учитывается,вне акватоий,2014-05-06 00:00:00
5916,нефтяная эмульсия,РН-ЮНГ-2014-1102,к.122 - т.7 (от к.122 = 1км),Нефтеюганский,72.85972222222222,61.17666666666666,земли промышленности; земли лесного фонда,0.738,не учитывается,вне акватоий,2016-08-23 00:00:00
5917,подтоварная вода,РН-ЮНГ-2014-1103,т.203(вр.к.69)-т.205(вр.к.61) (от т.203-2050м),Нефтеюганский,73.07055555555556,61.07194444444445,земли лесного фонда,0.0051,не учитывается,вне акватоий,2014-05-14 00:00:00
5918,подтоварная вода,РН-ЮНГ-2014-1106,ЦППН-4 Южный Сургут - КНС-6 Южно-Сургутская,Нефтеюганский,71.22611111111111,60.7575, земли лесного фонда ,0.174243604,не учитывается,вне акватоий,2014-05-23 00:00:00
5919,подтоварная вода,РН-ЮНГ-2014-1108,т.209 - т.210(вр.к.100) (от т.209 = 300м),Нефтеюганский,73.0975,61.062777777777775,земли лесного фонда,0.0025,не учитывается,вне акватоий,2014-05-27 00:00:00
5920,подтоварная вода,РН-ЮНГ-2014-1109,КНС - 3 - к.52 (от КНС - 3 = 800м),Нефтеюганский,73.01527777777778,61.128055555555555,земли промышленности,0.1131,не учитывается,вне акватоий,11.05.2015 в 22:55
5921,подтоварная вода,РН-ЮНГ-2014-1116,т. 203(вр.к.69) - т.205(вр.к.61)    (от т.205=300м),Нефтеюганский,73.06833333333333,61.07916666666667,земли запаса,0.0638,не учитывается,вне акватоий,2014-07-03 00:00:00
5922,нефтяная эмульсия,РН-ЮНГ-2014-1122,к.58а-т.25 (от к.58а-30м),Нефтеюганский,73.065,61.1025,земли лесного фонда,0.0905,не учитывается,вне акватоий,2014-07-11 00:00:00
5923,нефтяная эмульсия,РН-ЮНГ-2014-1126,т.22а(вр.к.63) - т.22(вр.к.66) (от т.22-400м),Нефтеюганский,72.90583333333333,61.114444444444445,земли населенных пунктов; земли запаса,0.2629,не учитывается,вне акватоий,2014-07-21 00:00:00
5924,нефтяная эмульсия,РН-ЮНГ-2014-1128,к.58а - т.25 (от к.58а = 30м),Нефтеюганский,73.06611111111111,61.1025,земли промышленности; земли лесного фонда,0.3407,не учитывается,вне акватоий,2014-07-22 00:00:00
5925,нефтяная эмульсия,РН-ЮНГ-2014-1129,"к.27,27а - т.34 (от к.27 = 30м)",Нефтеюганский,73.01777777777778,61.15,земли промышленности; земли лесного фонда,0.0257,не учитывается,вне акватоий,2014-07-24 00:00:00
5926,подтоварная вода,РН-ЮНГ-2014-1130,КНС-4 - уз.3а (от КНС-4=500м),Нефтеюганский,72.93583333333333,61.16888888888889,земли лесного фонда,0.0085,не учитывается,вне акватоий,2014-07-25 00:00:00
5927,нефтяная эмульсия,РН-ЮНГ-2014-1131,к.77 - т.310 (от к.77=70м),Сургутский,73.08472222222221,61.20444444444445,земли лесного фонда,0.3896,не учитывается,вне акватоий,2014-07-26 00:00:00
5928,подтоварная вода,РН-ЮНГ-2014-1133,уз.72-к.178 (от уз.72 - 1250м.),Нефтеюганский,73.26666666666667,61.19194444444444,земли промышленности; земли лесного фонда,0.2781,не учитывается,вне акватоий,2014-07-28 00:00:00
5929,нефтяная эмульсия,РН-ЮНГ-2014-1134,к.61 - т.19 (от к.61 = 495м),Нефтеюганский,73.07027777777778,61.07194444444445,земли промышленности; земли лесного фонда,0.0315,не учитывается,вне акватоий,2014-07-30 00:00:00
5930,нефтяная эмульсия,РН-ЮНГ-2014-1136,к.126 - т.23а (от к.126 = 157м),Нефтеюганский,73.15611111111112,61.05777777777777,земли лесного фонда,0.0354,не учитывается,вне акватоий,2014-08-06 00:00:00
5931,нефтяная эмульсия,РН-ЮНГ-2014-1138,к.64а - т.14 (р-н задв.№254),Нефтеюганский,72.89166666666668,61.124722222222225,земли лесного фонда,0.0304,не учитывается,вне акватоий,2014-08-12 00:00:00
5932,нефтяная эмульсия,РН-ЮНГ-2014-1139,к.7а - т.352 (от к.7а = 150м ),Нефтеюганский,73.04722222222222,61.10722222222223,земли промышленности; земли лесного фонда,0.0937,не учитывается,вне акватоий,2014-08-14 00:00:00
5933,нефтяная эмульсия,РН-ЮНГ-2014-1141,к.50-т.34 (от к.50-20м),Нефтеюганский,72.23027777777779,60.481944444444444,земли промышленности; земли лесного фонда,0.0427,не учитывается,вне акватоий,2014-08-19 00:00:00
5934,нефтяная эмульсия,РН-ЮНГ-2014-1143,т.302(вр.к.75) - Уз.18(т.303) (от т.302 = 1999м),Сургутский,73.00861111111111,61.218611111111116,земли лесного фонда; земли запаса; земли промышленности,0.3124,не учитывается,вне акватоий,03.12.2015 в 12:20
5935,нефтяная эмульсия,РН-ЮНГ-2014-1145,т.22а(вр.к.63) - т.22(вр.к.66) (от т.22а = 1110),Нефтеюганский,73.08805555555556,61.21055555555556,земли промышленности; земли лесного фонда,0.1092,не учитывается,вне акватоий,2014-08-27 00:00:00
5936,нефтяная эмульсия,РН-ЮНГ-2014-1146,к.84 - т.310 (от к.84 = 400м),Нефтеюганский,72.21611111111112,60.45777777777778,земли запаса,0.0296,не учитывается,вне акватоий,2014-08-29 00:00:00
5937,нефтяная эмульсия,РН-ЮНГ-2014-1148,"т.313(вр.к.79) - т.312а(вр.к.78) (от т.313= 1,300м)",Сургутский,73.12416666666665,61.19555555555555,земли лесного фонда; земли запаса,0.3028,не учитывается,вне акватоий,2014-09-02 00:00:00
5938,нефтяная эмульсия,РН-ЮНГ-2014-1152,уз.11 - ДНС -1 ЮС (от уз.11=800м),Сургутский,73.25305555555556,61.195277777777775,земли запаса,4.1228,не учитывается,вне акватоий,2014-09-19 00:00:00
5939,нефтяная эмульсия,РН-ЮНГ-2014-1154,к.62а - т.12а(вр.к.62) (от к.62 = 3м),Нефтеюганский,72.96916666666667,61.11527777777778,земли промышленности,0.0642,не учитывается,вне акватоий,2014-09-25 00:00:00
5940,нефтяная эмульсия,РН-ЮНГ-2014-1157,т.22а(вр.к.63) - т.22(вр.к.66) (от т.22а = 400м),Нефтеюганский,72.91083333333334,61.11333333333334,земли лесного фонда,0.0867,не учитывается,вне акватоий,2014-09-28 00:00:00
5941,нефтяная эмульсия,РН-ЮНГ-2014-1159,т.25 (вр.к.58а) - т.1 (от т.25 = 500м),Нефтеюганский,73.05027777777778,61.16611111111111,"земли промышленности, земли запаса",0.121,не учитывается,вне акватоий,2014-10-02 00:00:00
5942,нефтяная эмульсия,РН-ЮНГ-2014-1162,т.18(вр.к.26) - т.34(вр.к.27) (от т18=1200м),Нефтеюганский,73.02638888888889,61.14555555555555,земли лесного фонда,0.0231,не учитывается,вне акватоий,2014-10-06 00:00:00
5943,нефтяная эмульсия,РН-ЮНГ-2014-1164,к.84 - т.310 (от к.84 = 10м),Нефтеюганский,73.08833333333332,61.213055555555556,"земли промышленности, земли запаса",0.0338,не учитывается,вне акватоий,2014-10-10 00:00:00
5944,нефтяная эмульсия,РН-ЮНГ-2014-1165,т.25 (вр.к.58а) - т.1 (от т.25=30м),Нефтеюганский,73.05444444444444,61.10472222222222,земли промышленности; земли лесного фонда,0.0665,не учитывается,вне акватоий,2014-10-13 00:00:00
5945,нефтяная эмульсия,РН-ЮНГ-2014-1166,т.33(вр.к.25) - т.18(вр.к.26) (от т.33=300м),Нефтеюганский,73.05361111111111,61.14055555555556,земли лесного фонда; земли запаса,0.1065,не учитывается,вне акватоий,2014-10-22 00:00:00
5946,нефтяная эмульсия,РН-ЮНГ-2014-1168,к.84 - т.310 (от к.84 - 400м),Нефтеюганский,73.08805555555556,61.21055555555556,земли лесного фонда,0.0426,не учитывается,вне акватоий,2014-11-01 00:00:00
5947,нефтяная эмульсия,РН-ЮНГ-2014-1171,к.84 - т.310 (от к.84 = 2м),Нефтеюганский,73.08777777777777,61.21277777777778,"земли промышленности, земли запаса",0.0226,не учитывается,вне акватоий,2014-11-07 00:00:00
5948,нефтяная эмульсия,РН-ЮНГ-2014-1173,т.305(вр.к.76) - т.306 (от т.305=500м),Нефтеюганский,73.06361111111111,61.20944444444445,земли запаса,0.5371,не учитывается,вне акватоий,2014-11-08 00:00:00
5949,подтоварная вода,РН-ЮНГ-2014-1174,КНС-3-к.39а (от КНС-3=150м),Нефтеюганский,73.0111111111111,61.13111111111111,земли лесного фонда,0.1942,не учитывается,вне акватоий,2014-11-09 00:00:00
5950,нефтяная эмульсия,РН-ЮНГ-2014-1175,к.130 - т.5(вр.к.125) (от к.130 = 1050м),Сургутский,72.92277777777778,61.20888888888889,земли запаса,0.184,не учитывается,вне акватоий,2014-11-10 00:00:00
5951,нефтяная эмульсия,РН-ЮНГ-2014-1181,т.23а - т.24(вр.к.112) (от к.126 = 5м),Нефтеюганский,73.15555555555557,61.05777777777777,земли лесного фонда,0.0105,не учитывается,вне акватоий,2014-11-19 00:00:00
5952,нефтяная эмульсия,РН-ЮНГ-2014-1183,т.22а(вр.к.63) - т.22(вр.к.66) (от т.22а = 700м),Нефтеюганский,72.9075,61.11388888888889,земли лесного фонда,0.058,не учитывается,вне акватоий,2014-11-21 00:00:00
5953,нефтяная эмульсия,РН-ЮНГ-2014-1187,к.72 - т.324 (от к.72 = 500м),Сургутский,72.99277777777777,61.20611111111111,земли лесного фонда,0.0876,не учитывается,вне акватоий,2014-11-26 00:00:00
