,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
73,нефть,ЛУК-2019-7,УП-76 до УП-38,Советский,64.20691944444445,61.00762777777778,земли лесного фонда,0.0327,-,-,2019-02-12 00:00:00
74,подтоварная вода,ЛУК-2019-9,Высоконапорный водовод от БГ-15 до скв. 6086,Советский,63.92295555555555,61.07231666666667,земли лесного фонда,0.0107,-,-,2019-10-30 00:00:00
75,нефть,ЛУК-2019-10,"нефтесбор от т.вр. К-116 до т.вр. К-27,28",Советский,63.964444444444446,61.035,земли лесного фонда,0.0818,-,-,2019-12-30 00:00:00
76,нефтепродукты,ЛУК-2020-1,район УП (задв.133),Советский,61.04351388888889,63.78839166666666,земли лесного фонда,0.0064,-,-,2020-10-03 00:00:00
81,нефть,ЛУК-2018-4,н/сбор от К-53 до т.вр.,Советский,64.91094444444445,61.24497222222222,земли лесного фонда,0.039,***,-,2018-11-29 00:00:00
82,нефть,ЛУК-2019-11,Сборный нефтепровод «К-133 – т.врезки»,Советский,65.09599444444444,61.265744444444444,земли лесного фонда,0.0916,-,-,2019-10-07 00:00:00
83,нефть,ЛУК-2020-2,Нефтепровод от К-135 до т.вр.,Советский,65.1391388888889,61.27285833333333,земли лесного фонда,0.0553,-,-,2020-08-10 00:00:00
86,нефть,ЛУК-2019-12,Нефтепровод К - 95 - до т.врезки,Советский,64.49511111111111,61.167361111111106,земли лесного фонда,0.0758,-,-,2019-04-12 00:00:00
87,нефть,ЛУК-2019-13,Нефтепровод от К-53 до т.вр.,Советский,64.41861111111112,61.29194444444444,земли лесного фонда,0.171,-,-,2019-05-08 00:00:00
88,подтоварная вода,ЛУК-2019-14,В/водовод от т.вр. до К-78 (уч.1),Советский,64.64586111111112,61.141,земли лесного фонда,0.0137,-,-,2019-08-08 00:00:00
89,нефть,ЛУК-2019-16,Нефтепровод от К-53 до т.вр. (уч. 2),Советский,64.40317777777778,61.30757777777777,земли лесного фонда,0.0247,-,-,2019-10-31 00:00:00
90,нефтепродукты,ЛУК-2020-3,район К-50,Советский,61.29747222222222,64.45069444444445,земли лесного фонда,0.0059,-,-,2020-08-10 00:00:00
